,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,NY,New York County,Data_5_bed,4297436.166666667,4711602.0,4286423.416666667,4112948.9166666665,4010514.75,4147312.8333333335,4382946.666666667,4249640.333333333,3640317.5833333335,3635041.0833333335,3802326.75
3,TX,Harris County,Data_5_bed,380649.6666666667,371106.0,377998.5,407262.1666666667,448332.0,471072.0,464320.0833333333,461076.25,464720.5,464944.3333333333,472808.0
4,IL,Cook County,Data_5_bed,1550729.1666666667,1509749.8333333333,1419787.8333333333,1573946.5833333333,1714181.25,1837944.9166666667,1927874.9166666667,1990608.4166666667,2003324.6666666667,1972225.4166666667,1970370.75
5,TX,Harris County,Data_5_bed,155703.66666666666,147876.25,149438.33333333334,163618.91666666666,181437.16666666666,197526.41666666666,207922.33333333334,214079.58333333334,220550.91666666666,225904.25,235907.5
6,TX,Harris County,Data_5_bed,178129.16666666666,171604.66666666666,172128.5,185847.83333333334,204949.75,224189.08333333334,232228.66666666666,235939.0,240710.25,244643.58333333334,254451.08333333334
7,TX,El Paso County,Data_5_bed,260738.66666666666,255231.91666666666,250659.33333333334,250532.83333333334,249383.33333333334,247692.16666666666,247894.75,255126.5,258949.83333333334,271002.5,280567.8333333333
8,IL,Cook County,Data_5_bed,1024735.25,943634.0,833232.25,923748.6666666666,1008080.3333333334,1097904.8333333333,1128733.0,1155654.3333333333,1189089.8333333333,1209929.75,1203705.6666666667
9,NY,Kings County,Data_5_bed,786536.1666666666,799846.5833333334,849900.8333333334,905553.0,1026375.5833333334,1205734.25,1390310.0833333333,1495532.0,1530765.75,1587008.4166666667,1600005.0
10,NY,Bronx County,Data_5_bed,440097.4166666667,401531.4166666667,379190.6666666667,390638.8333333333,408548.5833333333,436792.3333333333,483316.75,536579.5,602173.1666666666,650134.1666666666,695353.75
11,TX,Travis County,Data_5_bed,252348.5,248398.41666666666,254014.0,265639.0,287663.0833333333,305798.1666666667,324770.6666666667,334304.9166666667,345231.25,349343.4166666667,371429.9166666667
12,CA,San Francisco County,Data_5_bed,2894822.5,2951638.3333333335,3273600.4166666665,3757071.9166666665,4197406.75,4919195.416666667,5107044.583333333,5385233.416666667,6050107.666666667,6584612.416666667,6657143.916666667
14,TN,Davidson County,Data_5_bed,193820.91666666666,185880.91666666666,181083.16666666666,189153.66666666666,199203.16666666666,214494.16666666666,236627.91666666666,263971.3333333333,288525.25,298315.5,317202.1666666667
15,FL,Sumter County,Data_5_bed,557763.8333333334,552321.0,566885.3333333334,613268.0,690459.0,719953.25,699922.9166666666,726361.8333333334,751366.1666666666,791490.1666666666,802684.6666666666
16,IL,Cook County,Data_5_bed,567267.4166666666,510006.4166666667,505261.0833333333,547066.9166666666,589718.4166666666,645263.1666666666,694843.3333333334,715417.4166666666,732747.5,745948.9166666666,782787.4166666666
17,NY,Kings County,Data_5_bed,3023435.4166666665,3125220.5,3262698.4166666665,3443708.3333333335,3919664.5833333335,4570776.416666667,4770419.416666667,4973628.833333333,4966194.583333333,4942361.166666667,4760889.583333333
18,NY,Kings County,Data_5_bed,761368.1666666666,774489.75,782637.0833333334,824120.1666666666,848123.4166666666,920963.25,990983.9166666666,1063203.3333333333,1144030.6666666667,1171121.0,1168619.1666666667
19,NY,Queens County,Data_5_bed,1208667.8333333333,1214277.8333333333,1254530.0,1364083.25,1533769.5,1667171.4166666667,1736920.0833333333,1839910.3333333333,1945906.0,1980256.6666666667,1973511.1666666667
20,CA,Los Angeles County,Data_5_bed,491427.8333333333,466949.0833333333,470994.25,530748.6666666666,586014.3333333334,632047.9166666666,690352.5833333334,759026.5,830976.25,860677.8333333334,904084.75
21,TX,Comal County,Data_5_bed,249352.16666666666,237986.66666666666,239513.41666666666,244728.75,252630.16666666666,268018.75,277483.4166666667,288358.0833333333,296424.0833333333,295313.8333333333,300007.4166666667
22,TN,Davidson County,Data_5_bed,262366.5,247725.75,253204.41666666666,268624.0,284184.0833333333,302736.25,332590.9166666667,360796.5,381567.4166666667,391012.5,410854.6666666667
24,TX,Galveston County,Data_5_bed,303602.75,287825.5833333333,292629.3333333333,308590.8333333333,326124.9166666667,346836.3333333333,363639.75,369273.0,380160.5,385322.6666666667,394438.0833333333
25,IL,Cook County,Data_5_bed,746108.25,697646.0,715602.25,798450.8333333334,869449.0,928321.0,966344.25,978390.0833333334,1004956.8333333334,1002570.25,1022323.9166666666
26,TX,Brazoria County,Data_5_bed,294584.4166666667,284871.25,286060.0,297228.25,329679.6666666667,356467.3333333333,366279.5833333333,371844.8333333333,381265.25,383220.0,382819.25
27,NY,New York County,Data_5_bed,5369978.916666667,5979565.416666667,6378294.666666667,6854298.666666667,7928039.083333333,9464902.416666666,10577124.75,10040891.666666666,9618781.416666666,9253456.75,9335875.0
28,DC,District of Columbia,Data_5_bed,560925.0833333334,560658.8333333334,602476.6666666666,688563.9166666666,754920.8333333334,781936.5833333334,829370.75,876267.4166666666,958241.25,1045713.5833333334,1067441.75
29,NY,New York County,Data_5_bed,7057853.583333333,8374803.916666667,9100248.916666666,8895397.5,8651556.333333334,9608169.666666666,9611481.666666666,9106270.583333334,9036513.166666666,8218261.583333333,7528133.833333333
30,NC,Mecklenburg County,Data_5_bed,255833.75,240521.33333333334,238269.0,248568.33333333334,263675.1666666667,272136.6666666667,284018.5833333333,302120.0,317664.6666666667,331164.9166666667,347257.4166666667
31,TX,Williamson County,Data_5_bed,346091.0,338781.3333333333,350949.0833333333,374893.4166666667,408508.4166666667,430556.5833333333,449753.3333333333,464057.1666666667,473451.3333333333,493441.5,520468.9166666667
32,TX,Harris County,Data_5_bed,336730.9166666667,326079.5,328707.6666666667,359147.5833333333,392644.4166666667,415916.9166666667,418053.1666666667,421507.4166666667,425750.0,433462.8333333333,450268.6666666667
33,TX,Hidalgo County,Data_5_bed,301572.25,293672.9166666667,299423.4166666667,299019.5833333333,307897.9166666667,315465.9166666667,313467.6666666667,312273.5,313989.5,316248.25,325951.5
34,GA,Clayton County,Data_5_bed,174310.91666666666,155633.5,148375.08333333334,166041.41666666666,193636.16666666666,205598.75,215447.91666666666,228826.16666666666,246907.5,262411.75,274960.8333333333
35,TX,El Paso County,Data_5_bed,369452.25,361801.5833333333,352339.3333333333,356842.0,358945.5833333333,355353.1666666667,358389.0833333333,372585.4166666667,373552.3333333333,388232.75,397679.5833333333
36,TX,Dallas County,Data_5_bed,207596.58333333334,204157.41666666666,206638.75,218218.25,234555.66666666666,252792.75,274292.9166666667,295121.8333333333,310976.3333333333,322511.8333333333,337791.0
37,CA,Contra Costa County,Data_5_bed,389681.5833333333,354881.5833333333,357071.0,438812.75,517320.3333333333,559981.9166666666,599365.75,645009.75,692188.25,688160.3333333334,710672.0833333334
38,TN,Montgomery County,Data_5_bed,202681.08333333334,203526.66666666666,205368.25,207197.91666666666,213105.83333333334,216899.08333333334,221164.16666666666,225251.66666666666,236431.41666666666,247759.83333333334,261018.58333333334
39,NY,Kings County,Data_5_bed,555710.25,548578.3333333334,586201.0833333334,698941.25,868194.4166666666,996272.75,1162391.6666666667,1337820.4166666667,1396360.9166666667,1427160.1666666667,1446318.5
40,OK,Canadian County,Data_5_bed,264220.0,252406.58333333334,252210.5,264009.4166666667,271801.9166666667,280407.75,282342.1666666667,282368.0,285530.75,290377.5,300980.8333333333
41,CA,Los Angeles County,Data_5_bed,1344870.5833333333,1336317.5833333333,1438331.4166666667,1704914.75,1959602.75,2289231.5,2597863.1666666665,2890157.75,3252531.5833333335,3438029.4166666665,3668641.8333333335
