,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,NY,New York County,Data_condo,933826.0833333334,972765.5833333334,986237.0,1054614.75,1197233.25,1289732.25,1365616.0833333333,1320903.5,1322059.25,1325660.6666666667,1170606.25
1,IL,Cook County,Data_condo,346809.6666666667,324659.3333333333,310376.75,333634.6666666667,357187.1666666667,362933.75,374188.9166666667,387254.6666666667,394534.0,389613.3333333333,391259.6666666667
2,NY,New York County,Data_condo,724565.3333333334,771147.5,799126.5,852446.8333333334,959939.9166666666,1024179.0833333334,1078870.8333333333,1072589.75,1063778.3333333333,989657.1666666666,1031863.5
3,TX,Harris County,Data_condo,151949.83333333334,149688.08333333334,148332.25,156559.0,175737.5,192867.58333333334,195926.25,193988.66666666666,194777.91666666666,204670.58333333334,206448.16666666666
4,IL,Cook County,Data_condo,384639.0,364543.8333333333,350230.4166666667,378375.0,408013.3333333333,417971.8333333333,432598.75,443532.9166666667,449462.25,441919.5,441726.8333333333
5,TX,Harris County,Data_condo,115358.58333333333,112565.41666666667,109657.16666666667,129054.08333333333,130977.5,136601.66666666666,150685.91666666666,166365.16666666666,164537.25,164845.0,177286.16666666666
6,NY,New York County,Data_condo,817244.75,856790.1666666666,871142.0833333334,930280.25,1019328.5833333334,1102949.25,1096165.4166666667,1033629.9166666666,999313.4166666666,1087200.25,1109932.4166666667
7,TX,Harris County,Data_condo,87523.0,82822.25,81549.5,89448.25,101278.0,111360.58333333333,118791.75,126863.75,135157.33333333334,143172.33333333334,148363.75
8,TX,El Paso County,Data_condo,106043.83333333333,105500.41666666667,103584.58333333333,104018.25,104859.66666666667,105702.83333333333,105684.5,109134.16666666667,111027.91666666667,116217.91666666667,119610.41666666667
9,IL,Cook County,Data_condo,233642.41666666666,208598.66666666666,189799.5,204574.41666666666,222953.16666666666,227937.91666666666,237300.58333333334,249809.75,258023.16666666666,259265.08333333334,266777.3333333333
10,NY,Kings County,Data_condo,496610.4166666667,479422.75,479663.1666666667,501845.5,519934.3333333333,580221.8333333334,641606.1666666666,692397.8333333334,723415.5833333334,656445.5833333334,655918.3333333334
12,TX,Travis County,Data_condo,162915.83333333334,155116.25,155641.33333333334,166168.58333333334,173770.16666666666,186608.66666666666,205361.66666666666,220461.91666666666,231637.41666666666,241018.91666666666,258183.33333333334
13,CA,San Francisco County,Data_condo,741584.75,702331.5,745070.5,864039.5,931710.5,1030178.25,1063229.6666666667,1065001.0,1120237.75,1122160.8333333333,1132439.9166666667
14,NY,New York County,Data_condo,578484.1666666666,610703.8333333334,612466.0833333334,646252.4166666666,718360.25,772725.0,800714.4166666666,803458.6666666666,799463.75,775193.9166666666,735792.6666666666
15,TN,Davidson County,Data_condo,122626.16666666667,113936.16666666667,107149.33333333333,111551.58333333333,116649.08333333333,125303.0,138940.16666666666,156686.5,173416.66666666666,180995.91666666666,190381.25
16,FL,Sumter County,Data_condo,178103.25,173288.66666666666,175728.91666666666,190801.91666666666,215846.0,226420.25,228150.16666666666,232389.83333333334,243215.91666666666,255378.41666666666,262660.25
