Hotness Rank,County,Supply Score,Demand Score,Days on market(Median),Listing Price(Median),Year,Month
27,Gloucester,93.53202283,94.16613824,35,234900.0,2020,08
48,Gloucester,89.98097654,93.40519975,36,239900.0,2020,09
66,Gloucester,83.19594166,94.03931516,44,230950.0,2020,07
68,Camden,88.39568802,88.39568802,39,229900.0,2020,08
72,Camden,93.97590361,84.59099556,32,229900.0,2020,09
81,Burlington,91.12238427,83.51299937,40,299900.0,2020,07
89,Burlington,92.01014585,80.65948003,36,304000.0,2020,08
92,Gloucester,86.17628408,86.93722257,36,239900.0,2021,02
93,Camden,85.28852251,87.19086874,43,225000.0,2020,07
96,Camden,90.55168041,81.48383006,32,227425.0,2021,02
99,Camden,91.56626506,82.30818009,35,229900.0,2020,1
101,Camden,83.89346861,85.22511097,53,229850.0,2021,01
105,Warren,95.37095751,74.82561826,35,279450.0,2020,07
112,Camden,88.77615726,80.72289157,41,232500.0,2020,11
117,Warren,96.44895371,71.7818643,31,279900.0,2020,08
118,Essex,96.06848446,70.00634115,39,410142.8571,2019,03
120,Camden,87.06404566,79.83512999,57,204900.0,2020,02
124,Gloucester,80.27901078,87.63474952,44,249950.0,2020,11
126,Union,95.37095751,72.92327204,37,449950.0,2020,06
128,Union,96.82942295,68.48446417,44,377000.0,2019,02
128,Burlington,92.20038047,77.74254914,34,300000.0,2020,09
132,Union,91.3126189,78.82054534,56,334450.0,2017,11
134,Union,96.32213063,68.6746988,39,415000.0,2020,02
136,Morris,92.45402663,75.52314521,52,509000.0,2018,02
136,Essex,87.06404566,82.24476855,59,349000.0,2017,11
139,Union,92.07355739,75.45973367,52,332400.0,2018,02
139,Union,92.7076728,76.91819911,51,332450.0,2017,1
142,Essex,92.26379201,71.08433735,55,399000.0,2019,02
145,Gloucester,73.55738744,90.67850349,44,249900.0,2020,1
149,Somerset,90.36144578,75.26949905,55,542200.0,2018,02
150,Gloucester,71.59162968,89.53709575,60,239900.0,2021,01
150,Union,92.26379201,70.32339886,66,369900.0,2019,01
152,Union,94.80025365,66.96258719,42,392285.7143,2019,03
154,Essex,98.47812302,63.60177552,31,449450.0,2020,06
155,Union,90.17121116,70.7038681,65,399450.0,2020,01
156,Camden,81.42041852,82.11794547,51,230950.0,2020,12
156,Essex,94.67343056,70.51363348,49,399925.0,2018,11
159,Essex,89.917565,76.79137603,53,359450.0,2017,1
160,Essex,87.31769182,74.31832594,71,373750.0,2019,01
160,Essex,92.45402663,71.84527584,52,344450.0,2018,02
161,Morris,93.59543437,67.15282181,43,527100.0,2019,03
166,Essex,94.4197844,69.3088142,44,422500.0,2018,1
166,Burlington,82.30818009,77.80596068,62,263000.0,2020,02
166,Warren,94.35637286,68.10399493,32,294945.0,2020,09
167,Essex,96.95624604,62.96766011,37,425000.0,2020,02
168,Gloucester,72.66962587,88.33227647,55,247450.0,2020,12
168,Burlington,77.80596068,83.00570704,51,292200.0,2020,06
170,Warren,93.21496512,67.97717185,34,299000.0,2020,1
170,Essex,90.93214965,67.40646798,65,392500.0,2020,01
174,Essex,96.38554217,63.53836398,31,420642.8571,2019,04
174,Union,86.049461,77.29866836,73,324999.5,2018,01
176,Union,97.08306912,62.52377933,30,450000.0,2020,08
176,Morris,88.33227647,71.21116043,62,519450.0,2019,02
182,Union,96.76601141,62.65060241,32,449900.0,2020,07
186,Union,84.90805327,77.04502219,68,329000.0,2017,12
186,Camden,82.37159163,75.52314521,47,212450.0,2020,03
187,Somerset,93.59543437,63.03107166,43,566714.2857,2019,03
189,Burlington,76.98161065,79.45466075,58,319000.0,2021,01
190,Essex,79.39124921,82.24476855,72,334900.0,2017,12
193,Essex,93.34178821,68.16740647,39,375000.0,2018,03
194,Essex,87.12745720000001,69.05516804,64,398500.0,2019,12
194,Somerset,89.02980342,68.16740647,61,545950.0,2019,02
195,Union,89.917565,67.34305644,52,400000.0,2019,11
199,Somerset,92.89790742,68.04058339,40,570000.0,2018,03
201,Essex,82.9422955,77.23525682,75,331950.0,2018,01
212,Essex,84.78123018,71.71845276,66,390000.0,2018,12
215,Essex,88.14204185,67.27964490000001,53,400000.0,2019,11
216,Union,93.53202283,62.20672162,44,410000.0,2019,1
216,Gloucester,75.20608751,77.86937223,51,217000.0,2020,03
217,Somerset,85.92263792,65.94800254,58,529000.0,2020,02
218,Passaic,96.32213063,59.79708307,33,409748.5,2020,07
219,Mercer,83.06911858,69.94292961,53,327214.2857,2019,03
219,Essex,98.35129994,57.70450222,30,452450.0,2020,07
222,Morris,77.80596068,80.21559924,78,488250.0,2018,01
225,Essex,92.7076728,62.27013316,45,416950.0,2019,1
225,Somerset,80.97653773,70.51363348,72,508950.0,2020,01
226,Burlington,81.80088776,72.98668358,41,309999.0,2020,1
228,Union,82.75206088,68.9917565,66,399900.0,2019,12
228,Gloucester,70.95751427,79.77171845,71,215000.0,2020,02
229,Passaic,93.15155358,60.93849081,40,404500.0,2020,06
229,Camden,74.19150285,77.48890298,53,212500.0,2020,04
230,Morris,89.22003805,68.54787571,44,535000.0,2018,03
230,Middlesex,94.16613824,56.119213699999996,43,393000.0,2020,02
231,Union,92.83449588,59.98731769,36,409500.0,2019,04
231,Morris,87.06404566,63.03107166,57,544900.0,2020,02
232,Burlington,80.84971465,70.45022194,48,272400.0,2020,03
233,Union,94.22954978,56.94356373,43,425000.0,2021,01
233,Burlington,79.13760304,75.14267597,45,310495.0,2020,11
235,Union,94.1027267,56.75332911,37,422000.0,2020,03
237,Camden,67.97717185,85.41534559,58,219950.0,2020,06
241,Morris,77.74254914,78.94736842,66,502499.5,2017,11
242,Union,92.89790742,63.4115409,40,349900.0,2018,03
242,Union,86.81039949,66.2016487,65,375000.0,2018,12
245,Burlington,73.81103361,78.31325301,54,310000.0,2020,12
247,Passaic,92.39061509,55.86556753,46,392000.0,2020,02
248,Somerset,83.57641091,67.02599873,56,529999.0,2019,11
248,Camden,77.99619531,70.89410273,74,199450.0,2020,01
253,Union,88.45909956,65.75776791,55,384450.0,2018,11
257,Essex,90.61509195,65.18706405,40,402450.0,2018,04
260,Mercer,76.09384908,70.76727964,67,359900.0,2020,02
261,Union,93.53202283,58.46544071,33,449500.0,2020,09
262,Union,89.15662651,63.34812936,51,389000.0,2018,1
263,Burlington,71.27457197,77.74254914,50,319000.0,2021,02
263,Union,86.87381103,63.28471782,49,404950.0,2019,09
264,Essex,95.56119214,53.64616360000001,35,432500.0,2020,03
265,Camden,73.68421053,73.87444515,71,199900.0,2019,12
267,Union,81.80088776,71.52821814,57,329000.0,2017,09
268,Union,96.57577679,52.50475587,30,439900.0,2020,1
269,Essex,81.80088776,71.40139505,57,355000.0,2017,09
270,Essex,93.27837666,62.58719087,35,431500.0,2018,05
272,Morris,72.98668358,81.67406468,66,516500.0,2017,1
277,Essex,85.54216867,63.15789474,50,419950.0,2019,09
280,Essex,95.37095751,52.31452124,32,449000.0,2020,08
280,Gloucester,57.95814838,90.04438808,66,223700.0,2020,06
281,Morris,74.25491439,74.44514902,79,499949.5,2019,01
282,Passaic,95.37095751,52.18769816,32,409900.0,2020,08
283,Middlesex,88.96639188,61.76284084,71,342500.0,2018,01
286,Union,89.34686113,59.98731769,38,429950.0,2019,05
287,Monmouth,88.26886493,56.18262524,56,549900.0,2020,02
288,Middlesex,89.15662651,62.84083703,58,349450.0,2018,02
290,Warren,82.81547242,64.17247939,43,299000.0,2020,11
290,Warren,81.42041852,64.67977172,49,269945.0,2020,04
292,Camden,65.1236525,79.45466075,64,215000.0,2020,05
292,Somerset,86.55675333,65.1236525,43,585000.0,2018,04
294,Monmouth,86.30310717,58.78249841,64,504950.0,2019,02
295,Monmouth,86.11287254,58.97273304,51,526757.1429,2019,03
296,Mercer,86.62016487,59.60684845,44,392000.0,2020,03
296,Morris,85.92263792,65.56753329,43,549900.0,2018,04
298,Passaic,90.10779962,54.59733672,48,359000.0,2019,03
299,Morris,94.16613824,50.72923272,36,579450.0,2020,07
303,Somerset,91.88332276,54.47051363,41,589450.0,2020,06
308,Middlesex,90.55168041,58.71908687,43,360990.0,2018,03
309,Union,89.60050729,62.65060241,38,377250.0,2018,05
309,Essex,80.78630311,66.70894103,53,419950.0,2018,09
311,Middlesex,85.79581484,64.87000634,60,349900.0,2017,11
311,Warren,66.96258719,78.7571338,59,269900.0,2020,06
311,Middlesex,84.90805327,64.04565631,68,349000.0,2017,12
312,Gloucester,65.25047559,78.31325301,75,209900.0,2019,12
314,Union,84.27393786,65.25047559,44,362000.0,2018,04
320,Monmouth,82.81547242,62.27013316,73,499450.0,2019,01
322,Essex,93.84908053,52.06087508,33,429949.5,2019,05
322,Warren,65.1236525,76.15726062,64,266493.0,2020,05
322,Middlesex,95.62460368,46.79771718,34,422400.0,2020,07
323,Union,96.95624604,46.60748256,34,440000.0,2020,11
323,Gloucester,53.07545973,88.01521877,71,224900.0,2020,05
323,Passaic,96.76601141,47.68547876,29,409000.0,2020,09
323,Somerset,91.81991122,50.60240964,39,588450.0,2020,07
326,Burlington,73.74762207,68.61128725,76,238700.0,2019,02
327,Morris,93.91249207,49.65123653,39,569450.0,2020,06
328,Burlington,67.85034876,73.55738744,79,259950.0,2020,01
329,Monmouth,78.69372226,67.97717185,78,452500.0,2018,01
330,Union,90.99556119,49.27076728,32,449000.0,2021,02
330,Burlington,74.00126823,67.21623335,59,244185.7143,2019,03
332,Somerset,78.18642993,63.91883323,68,522000.0,2019,12
332,Somerset,89.02980342,55.61192137,40,591950.0,2019,04
333,Somerset,74.25491439,69.94292961,79,524950.0,2019,01
333,Union,89.22003805,55.48509829,47,427400.0,2020,12
333,Monmouth,76.53772987,70.57704502,64,477000.0,2017,1
335,Essex,94.86366519,47.7488903,31,440500.0,2020,09
336,Warren,83.2593532,59.35320228,46,279000.0,2020,03
343,Mercer,72.22574509,68.23081801,77,300000.0,2019,02
345,Somerset,88.71274572,53.51934052,42,549500.0,2020,03
347,Monmouth,76.66455295,66.5187064,72,499000.0,2018,12
347,Morris,92.83449588,49.08053266,39,557400.0,2020,03
348,Salem,61.25554851,76.91819911,49,180000.0,2020,1
349,Middlesex,85.85922638,54.66074826,46,413900.0,2020,06
350,Passaic,95.81483829999999,42.168674700000004,31,415000.0,2020,1
351,Essex,85.73240329999999,58.78249841,42,449000.0,2018,06
351,Morris,77.29866836,65.94800254,62,529000.0,2018,11
351,Union,82.49841471,60.68484464,52,388500.0,2018,09
352,Monmouth,78.88395688,67.5967026,45,501700.0,2018,05
353,Morris,88.71274572,57.70450222,38,550000.0,2018,05
355,Essex,72.60621433,65.82117945,60,429000.0,2020,05
355,Gloucester,63.60177552,75.64996829,82,211500.0,2020,01
358,Salem,66.26506024,74.5719721,50,177500.0,2020,11
358,Monmouth,81.10336081,63.15789474,68,469975.0,2018,02
359,Warren,77.42549144,63.728598600000005,53,287000.0,2020,12
359,Cape may,61.76284084,75.77679138,52,494777.0,2020,08
360,Monmouth,82.30818009,55.61192137,45,624950.0,2020,07
361,Morris,91.37603044,51.23652505,38,534450.0,2019,04
361,Cape may,71.27457197,68.29422955,45,499950.0,2020,09
361,Essex,94.86366519,42.29549778,32,449000.0,2020,1
361,Morris,70.19657578,71.90868738,75,519900.0,2018,12
361,Middlesex,87.50792644,57.76791376,39,379950.0,2018,05
362,Morris,66.39188332,77.17184528,80,499900.0,2017,12
363,Passaic,80.4692454,58.21179455,70,352450.0,2019,02
364,Somerset,66.70894103,77.10843373,86,529000.0,2018,01
366,Gloucester,62.58719087,78.12301839,63,209950.0,2019,1
367,Morris,88.39568802,48.38300571,39,585000.0,2020,08
368,Burlington,63.66518706,75.967026,66,270000.0,2019,11
368,Mercer,82.24476855,59.73367153,45,348700.0,2019,04
369,Middlesex,86.17628408,49.4610019,36,416500.0,2021,02
369,Passaic,84.40076094,55.67533291,72,349900.0,2019,01
370,Monmouth,78.44007609,63.85542169,53,489950.0,2018,03
370,Gloucester,57.70450222,80.53265694,63,217440.0,2020,04
370,Somerset,88.39568802,48.25618263,39,589900.0,2020,08
370,Middlesex,89.02980342,49.14394420000001,61,367700.0,2019,02
371,Passaic,89.66391883,48.82688649,42,399000.0,2020,03
373,Monmouth,75.26949905,66.26506024,64,504999.5,2018,11
373,Monmouth,82.37159163,54.15345593,43,625000.0,2020,08
373,Monmouth,70.25998732,72.41597971,64,478000.0,2017,09
373,Passaic,90.48826886,50.72923272,39,359000.0,2019,04
374,Passaic,82.56182625,58.65567533,68,349900.0,2018,12
378,Morris,85.98604946,51.87064046,39,598000.0,2020,09
379,Camden,68.04058339,70.83069119,64,200000.0,2019,11
379,Hudson,92.96131896,48.38300571,61,499000.0,2017,12
382,Union,67.97717185,67.97717185,63,440000.0,2020,05
382,Camden,77.80596068,58.9093215,57,189713.8571,2019,03
