Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1992,Disaster,6/10/11,AK,Crooked Creek ANV/ANVSA,Flood,Ice Jam and Flooding,5/8/11,5/13/11,No,No,Yes,Yes
DR-1992,Disaster,6/10/11,AK,Kuspuk Regional Educational Attendance Area,Flood,Ice Jam and Flooding,5/8/11,5/13/11,No,No,Yes,Yes
DR-1992,Disaster,6/10/11,AK,Red Devil ANV/ANVSA,Flood,Ice Jam and Flooding,5/8/11,5/13/11,No,No,Yes,Yes
DR-4050,Disaster,12/22/11,AK,Bering Strait Regional Educational Attendance Area,Storm,Severe Winter Storms and Flooding,11/8/11,11/13/11,No,No,Yes,Yes
DR-4050,Disaster,12/22/11,AK,Lower Kuskokwim Regional Educational Attendance Area,Storm,Severe Winter Storms and Flooding,11/8/11,11/13/11,No,No,Yes,Yes
DR-4050,Disaster,12/22/11,AK,Lower Yukon Regional Educational Attendance Area,Storm,Severe Winter Storms and Flooding,11/8/11,11/13/11,No,No,Yes,Yes
DR-4050,Disaster,12/22/11,AK,Southwest Region Regional Educational Attendance Are,Storm,Severe Winter Storms and Flooding,11/8/11,11/13/11,No,No,Yes,Yes
DR-4050,Disaster,12/22/11,AK,North Slope Borough,Storm,Severe Winter Storms and Flooding,11/8/11,11/13/11,No,No,Yes,Yes
DR-4054,Disaster,2/2/12,AK,Kenai Peninsula Borough,Storm,Severe Storm,11/15/11,11/17/11,No,No,Yes,Yes
DR-4094,Disaster,11/27/12,AK,Alaska Gateway Regional Educational Attendance Area,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",9/15/12,9/30/12,No,No,Yes,Yes
DR-4094,Disaster,11/27/12,AK,Chugach Regional Educational Attendance Area,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",9/15/12,9/30/12,No,No,Yes,Yes
DR-4094,Disaster,11/27/12,AK,Denali Borough,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",9/15/12,9/30/12,No,No,Yes,Yes
DR-4094,Disaster,11/27/12,AK,Kenai Peninsula Borough,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",9/15/12,9/30/12,No,No,Yes,Yes
DR-4094,Disaster,11/27/12,AK,Matanuska-Susitna Borough,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",9/15/12,9/30/12,No,No,Yes,Yes
DR-4122,Disaster,6/25/13,AK,Alaska Gateway Regional Educational Attendance Area,Flood,Flooding,5/17/13,6/11/13,No,Yes,Yes,Yes
DR-4122,Disaster,6/25/13,AK,Copper River Regional Educational Attendance Area,Flood,Flooding,5/17/13,6/11/13,No,Yes,Yes,Yes
DR-4122,Disaster,6/25/13,AK,Lower Yukon Regional Educational Attendance Area,Flood,Flooding,5/17/13,6/11/13,No,Yes,Yes,Yes
DR-4122,Disaster,6/25/13,AK,Yukon Flats Regional Educational Attendance Area,Flood,Flooding,5/17/13,6/11/13,No,Yes,Yes,Yes
DR-4122,Disaster,6/25/13,AK,Yukon Koyukuk Regional Educational Attendance Area,Flood,Flooding,5/17/13,6/11/13,No,Yes,Yes,Yes
DR-4161,Disaster,1/16/14,AK,Kenai Peninsula Borough,Flood,Flooding,10/27/13,10/28/13,No,No,Yes,Yes
DR-4162,Disaster,1/23/14,AK,Bering Strait Regional Educational Attendance Area,Storm,"Severe Storms, Straight-Line Winds, and Flooding",11/5/13,11/14/13,No,No,Yes,Yes
DR-4162,Disaster,1/23/14,AK,Lower Kuskokwim Regional Educational Attendance Area,Storm,"Severe Storms, Straight-Line Winds, and Flooding",11/5/13,11/14/13,No,No,Yes,Yes
DR-4162,Disaster,1/23/14,AK,Lower Yukon Regional Educational Attendance Area,Storm,"Severe Storms, Straight-Line Winds, and Flooding",11/5/13,11/14/13,No,No,Yes,Yes
DR-4162,Disaster,1/23/14,AK,Fairbanks North Star Borough,Storm,"Severe Storms, Straight-Line Winds, and Flooding",11/5/13,11/14/13,No,No,Yes,Yes
DR-4244,Disaster,10/30/15,AK,North Slope Borough,Storm,Severe Storm,8/27/15,8/27/15,No,No,Yes,Yes
DR-4257,Disaster,2/17/16,AK,Aleutians West Census Area,Storm,Severe Storm,12/12/15,12/15/15,No,No,Yes,Yes
DR-1908,Disaster,5/3/10,AL,DeKalb County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/24/10,4/25/10,No,Yes,Yes,Yes
DR-1908,Disaster,5/3/10,AL,Marshall County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/24/10,4/25/10,No,Yes,Yes,Yes
DR-1908,Disaster,5/3/10,AL,Walker County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/24/10,4/25/10,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Autauga County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Baldwin County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Barbour County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Bibb County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Blount County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Bullock County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Butler County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Calhoun County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Chambers County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Cherokee County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Chilton County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Choctaw County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Clarke County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Clay County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Cleburne County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Coffee County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Colbert County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Conecuh County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Coosa County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Covington County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Crenshaw County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Cullman County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Dale County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Dallas County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,DeKalb County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Elmore County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Escambia County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Etowah County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Fayette County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Franklin County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Geneva County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Greene County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Hale County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Henry County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Houston County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Jackson County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Jefferson County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Lamar County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Lauderdale County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Lawrence County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Lee County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Limestone County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Lowndes County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Macon County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Madison County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Marengo County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Marion County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Marshall County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Mobile County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Monroe County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
DR-1971,Disaster,4/28/11,AL,Montgomery County,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",4/15/11,5/31/11,No,Yes,Yes,Yes
