State,Year,Population,Violent_crime_total,Murder_and_nonnegligent_Manslaughter,Murder_per100000,Legacy_rape_/1,Revised_rape_/2,Robbery,Aggravated_assault,State_code
Alabama,1960,3266740,6097,406,12.4282924261,281,NA,898,4512,AL
Alabama,1961,3302000,5564,427,12.9315566323,252,NA,630,4255,AL
Alabama,1962,3358000,5283,316,9.4103633115,218,NA,754,3995,AL
Alabama,1963,3347000,6115,340,10.1583507619,192,NA,828,4755,AL
Alabama,1964,3407000,7260,316,9.2750220135,397,NA,992,5555,AL
Alabama,1965,3462000,6916,395,11.4095898325,367,NA,992,5162,AL
Alabama,1966,3517000,8098,384,10.9183963605,341,NA,1124,6249,AL
Alabama,1967,3540000,8448,415,11.7231638418,371,NA,1167,6495,AL
Alabama,1968,3566000,8288,421,11.8059450365,396,NA,1462,6009,AL
Alabama,1969,3531000,8842,485,13.7354856981,494,NA,1448,6415,AL
Alabama,1970,3444165,10185,404,11.7299839003,637,NA,1731,7413,AL
Alabama,1971,3479000,10835,524,15.0617993676,661,NA,2005,7645,AL
Alabama,1972,3510000,10994,496,14.1310541311,660,NA,2407,7431,AL
Alabama,1973,3539000,12390,468,13.2240745973,751,NA,2809,8362,AL
Alabama,1974,3577000,13338,536,14.9846239866,811,NA,3562,8429,AL
Alabama,1975,3614000,14201,577,15.9656889873,738,NA,4446,8440,AL
Alabama,1976,3665000,14248,553,15.0886766712,794,NA,3520,9381,AL
Alabama,1977,3690000,15293,524,14.2005420054,929,NA,3572,10268,AL
Alabama,1978,3742000,15682,499,13.3351149118,954,NA,3708,10521,AL
Alabama,1979,3769000,15578,496,13.1599893871,1037,NA,4127,9918,AL
Alabama,1980,3861466,17320,509,13.1815222509,1158,NA,5102,10551,AL
Alabama,1981,3916000,18423,465,11.8743615935,1021,NA,4952,11985,AL
Alabama,1982,3943000,17653,417,10.5757037788,1026,NA,4417,11793,AL
Alabama,1983,3959000,16471,364,9.1942409699,931,NA,3895,11281,AL
Alabama,1984,3990000,17204,374,9.373433584,1002,NA,3833,11995,AL
Alabama,1985,4021000,18398,396,9.8482964437,1079,NA,4237,12686,AL
Alabama,1986,4053000,22616,409,10.0912904022,1150,NA,4523,16534,AL
Alabama,1987,4083000,22833,380,9.3068821945,1137,NA,4581,16735,AL
Alabama,1988,4127000,23052,408,9.8861158226,1228,NA,4860,16556,AL
Alabama,1989,4118000,24329,421,10.223409422,1276,NA,5515,17117,AL
Alabama,1990,4040587,28630,467,11.5577266372,1319,NA,5805,21039,AL
Alabama,1991,4089000,34518,469,11.4697970164,1455,NA,6246,26348,AL
Alabama,1992,4136000,36052,455,11.000967118,1704,NA,6819,27074,AL
Alabama,1993,4187000,32676,484,11.5595892047,1471,NA,6677,24044,AL
Alabama,1994,4219000,28844,501,11.8748518606,1487,NA,7223,19633,AL
Alabama,1995,4253000,26894,475,11.1685868798,1350,NA,7900,17169,AL
Alabama,1996,4273000,24159,444,10.3908261175,1397,NA,7124,15194,AL
Alabama,1997,4319000,24379,426,9.8633943042,1396,NA,6931,15626,AL
Alabama,1998,4352000,22286,354,8.1341911765,1443,NA,5698,14791,AL
Alabama,1999,4369862,21421,345,7.8949861575,1513,NA,5297,14266,AL
Alabama,2000,4447100,21620,329,7.3980796474,1482,NA,5702,14107,AL
Alabama,2001,4468912,19582,379,8.4808114369,1369,NA,5584,12250,AL
Alabama,2002,4478896,19931,303,6.7650599612,1664,NA,5962,12002,AL
Alabama,2003,4503726,19331,299,6.638947396,1656,NA,6038,11338,AL
Alabama,2004,4525375,19324,254,5.6127945198,1742,NA,6042,11286,AL
Alabama,2005,4548327,19678,374,8.2228036814,1564,NA,6447,11293,AL
Alabama,2006,4599030,19553,382,8.3060993296,1646,NA,7062,10463,AL
Alabama,2007,4627851,20775,412,8.9026202443,1548,NA,7398,11417,AL
Alabama,2008,4661900,21110,351,7.5291190287,1618,NA,7346,11795,AL
Alabama,2009,4708708,21194,322,6.8383938864,1504,NA,6265,13103,AL
Alabama,2010,4785401,18363,275,5.7466448475,1355,NA,4864,11869,AL
Alabama,2011,4803689,20166,299,6.224382969,1370,NA,4906,13591,AL
Alabama,2012,4817528,21693,342,7.0990765388,1296,NA,5020,15035,AL
Alabama,2013,4833996,20834,346,7.1576393526,1449,2055,4645,13788,AL
Alabama,2014,4849377,20727,276,5.6914527371,1436,2005,4701,13745,AL
Alaska,1960,226167,236,23,10.1694765372,47,NA,64,102,AK
Alaska,1961,234000,208,27,11.5384615385,31,NA,29,121,AK
Alaska,1962,246000,225,11,4.4715447154,46,NA,34,134,AK
Alaska,1963,248000,272,16,6.4516129032,37,NA,55,164,AK
Alaska,1964,250000,375,26,10.4,56,NA,53,240,AK
Alaska,1965,253000,377,16,6.3241106719,45,NA,101,215,AK
Alaska,1966,272000,409,35,12.8676470588,53,NA,98,223,AK
Alaska,1967,272000,437,26,9.5588235294,48,NA,96,267,AK
Alaska,1968,277000,486,29,10.4693140794,60,NA,146,251,AK
Alaska,1969,282000,624,30,10.6382978723,83,NA,190,321,AK
Alaska,1970,302173,840,37,12.2446413147,79,NA,217,507,AK
