RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021
4,22,Alabama,State,AL,93708,93900,94136,94607,94913,95103,95020,95143,95448,95855,96289,96833,97392,97824,97847,97839,98015,98446,99165,99636,99839,99952,100001,99990,100019,100187,100783,101215,101753,102046,102491,102691,102757,102709,102689,102560,102388,102284,102144,102126,101970,101994,101906,102191,102766,103338,103929,104404,104752,104997,105373,105948,106566,106922,107214,107321,107555,107825,108111,108537,109073,109635,110104,110384,110672,111233,111797,112531,112931,113352,113657,113801,113935,113939,114074,114310,114656,114969,115282,115484,115786,116172,116693,117304,117861,118582,119181,119781,120172,120384,120663,120956,121486,121845,122331,122737,123365,123936,124696,125413,126163,127091,127985,128879,129727,130637,131536,132404,133173,133811,134475,135312,136568,137654,138798,139904,140892,141865,142697,143823,144910,146173,147293,148218,148807,149544,150457,151639,152864,154170,155398,156363,157090,157783,158478,159193,159264,158927,158653,158541,159129,159700,160642,161042,160769,159993,158544,157987,158430,159977,160299,159815,157741,155342,152658,150893,150616,150443,151147,150795,150302,148894,147970,147002,145966,144851,143121,141213,138886,137518,135959,133989,131328,128680,126665,125022,124149,123821,124011,124021,123404,122074,120625,119776,119575,119497,119282,118906,118636,118132,117727,117296,117355,117594,117962,118242,118320,118466,118601,119046,119412,119911,120270,120789,121214,121661,122086,122443,122882,123368,123970,124393,124741,124738,124915,124986,125204,125294,125366,125721,126080,126331,126248,126237,126293,126765,127135,127496,127775,128123,128619,128946,129332,129912,130596,131291,131875,132221,132471,132871,133440,134110,134569,134994,135213,135442,135469,135601,135654,136236,137047,137800,138028,138241,138663,139518,140279,140850,141460,141796,142419,142542,142863,143608,145101,146645,147967,149149,150592,152067,154271,157193,160406,163327,165428,166698,167641,168598,169616,170221,170650,171629,172605,173232,173016,172783,173165,174532,175907,177396,178796,180653,182638,184324,185716,187183,189249,191756,194310,196547,198932
3,46,Alaska,State,AK,120325,120658,121346,122702,124089,125106,125899,126544,127120,127350,127657,127750,127731,127816,127918,127960,128081,128692,129577,130147,130539,131227,131851,132228,132420,133029,133588,134054,134197,134185,134253,134758,135483,135745,135695,136978,139267,141090,141501,141332,140807,140312,139207,138993,138888,140247,141362,140574,138182,135401,134493,133604,133272,132767,132875,131244,129643,127489,126657,126449,125951,125580,124999,125462,126578,127736,128697,129824,130502,131156,131394,131915,133325,134818,136106,136765,136700,136723,136637,137504,138622,139639,140179,140457,141045,141571,142186,142680,143619,144659,146063,146478,146920,147245,148208,149210,149421,150338,151112,152390,152649,153180,153673,154940,156460,157990,159248,160253,161686,163063,164463,165529,167165,168465,169773,170832,171882,173325,174784,176535,178335,179427,180702,182017,183631,185276,186674,188291,189688,190804,191855,193058,194111,195350,195909,196564,197028,197537,198148,198548,199252,199641,199719,199512,199561,199221,199239,198996,199244,199320,199484,199668,199466,199537,199530,199502,199092,199743,200631,201409,200970,200653,199941,199249,198704,198487,198925,199144,199618,199245,199103,199241,199909,200375,200813,201317,201468,201269,200467,200152,199467,199019,197773,196608,195711,195530,195903,196187,196562,196770,197042,197645,198449,199192,200006,200837,201707,201417,200908,200442,200720,201068,201624,201223,201589,201901,202940,203358,203591,204852,205876,206845,207031,207533,208165,208943,209068,209726,210233,210836,210876,210468,210687,211333,212227,212876,212889,213252,213265,212870,212480,212991,214376,215655,216106,216028,215477,215115,215389,216141,217170,218163,218587,218058,217024,216004,215553,215081,215181,215139,215098,214566,214149,213313,212759,212542,212934,213501,213780,214222,214656,214963,215013,215152,215491,215846,215872,215198,214799,214410,215058,215030,214716,214270,213998,213679,213117,215849,219183,224551,225675,226682,225746,226524,227437,228596,229831,230161,230756,228554,227061,223962,224074,224377,225837,226440,227141,227834,228581,230222,232002
8,15,Arizona,State,AZ,76952,77140,77370,77803,78218,78579,78889,79184,79481,79779,80037,80287,80538,80832,81060,81281,81516,81773,82048,82299,82582,82843,83155,83463,83803,84112,84416,84661,84889,85146,85487,85893,86214,86543,86837,87166,87386,87606,87843,88155,88488,88918,89291,89633,89971,90319,90719,91035,91447,91808,92240,92658,93118,93466,93823,94183,94595,94966,95266,95607,95968,96396,96766,97083,97346,97612,97880,98130,98427,98782,99204,99567,99888,100149,100476,100826,101183,101597,102023,102524,102959,103417,103909,104471,105064,105596,106070,106537,107006,107408,107742,108112,108635,109236,109827,110473,111232,112009,112867,113719,114713,115644,116822,118312,119788,121531,123345,125840,128773,131822,134713,137888,141726,146579,151887,156872,162052,166329,170844,173911,175824,178329,181159,183971,185181,185470,185067,184593,183760,183419,182847,182473,182364,181989,181760,181640,181318,180536,179469,178544,177251,175741,173714,171988,170038,166922,163576,159611,157178,154609,152173,149032,146254,143941,140782,137375,134220,132628,130704,128549,125811,123560,121845,120107,118560,116277,115423,114620,113959,112323,110809,109941,108824,107624,105520,103904,101917,100585,98951,97430,95907,94574,93649,92155,90685,89108,88196,87570,87181,87057,86930,87399,87638,88351,88781,90164,91933,93821,95539,97203,99206,100934,102864,103912,105300,106056,107538,108678,109927,111412,113138,114542,115706,116659,117112,118008,119034,120652,121039,120992,120824,120916,120850,120952,120845,121175,121933,122760,123079,123208,124130,125276,126298,126849,127583,128220,128997,129382,129707,130162,131232,132030,132578,133119,133826,134561,135091,135920,136798,137990,139143,140107,140734,141583,142608,143603,144507,145575,146851,147849,148931,149968,151137,152171,153323,154618,155858,157160,158552,159945,161233,162338,163568,164653,165613,166459,167446,168446,169303,169831,170822,172168,173606,174854,175778,176942,178248,179912,181220,182416,183802,185891,187749,189484,191398,193880,196807,199897,203203,206634,210627
6,31,Arkansas,State,AR,86599,86180,86188,86204,86491,86665,86698,86797,86879,87040,87069,87072,87066,87547,87875,88055,87896,87927,88100,88198,88361,88401,88693,89004,89516,89802,90052,90056,90099,90129,90289,90501,90670,90944,91141,91407,91411,91439,91346,91487,91583,91719,91892,92023,92257,92419,92530,92567,92485,92666,92974,93451,93906,94381,94809,95224,95411,95658,96104,96797,97618,97946,98141,98080,98253,98372,98513,98660,98971,99219,99258,99182,99195,99519,99898,100324,100575,100790,101021,101248,101539,101975,102578,103101,103466,103753,104026,104291,104667,105100,105652,106123,106511,106764,107001,107391,107881,108417,109045,109682,110205,110577,110859,111412,111996,112690,113244,113844,114498,115190,115855,116638,117517,118686,119709,120550,121412,122381,123537,124349,125044,125725,126592,127295,128039,128627,129443,130275,131079,131698,132165,132767,133428,133965,134270,134618,134853,135033,135236,135510,135593,135386,135170,135121,135093,135054,135052,135031,134803,134099,133365,132547,132220,132010,131645,130937,129706,128488,127134,126161,125541,125768,125595,125214,124505,123938,123671,123419,123898,124342,124924,124973,125040,124689,124333,123949,123205,122791,122254,122156,121745,121526,121065,120455,119458,118767,118700,118958,119410,119745,119991,120028,119620,119187,119198,119969,121023,121600,121647,121740,121983,121913,122080,122508,123573,124290,124607,124547,124586,124892,125322,125542,125855,126219,126287,125922,125615,125725,126115,126080,126020,125775,125815,125730,125828,126004,126243,126486,126594,126905,127079,127646,127836,128270,128484,128946,128963,128969,129166,129660,130092,130075,130102,130339,130927,131591,132008,132446,133024,133787,134299,134686,135140,135823,136436,136622,136785,136891,137485,137918,138371,138631,139306,139898,140082,140062,140251,140774,141262,141585,141845,142087,142525,143096,143578,144060,144683,145409,146001,146806,147530,148341,148787,149563,150074,150377,150152,150149,150575,151217,151867,152200,152679,153262,154145,154894,155823,156971,158596,160180,161556
9,0,California,State,CA,147326,147098,146856,146422,146024,145698,145406,145170,144952,144881,144871,144981,144883,144786,144841,145198,145737,146277,146981,147772,148707,149534,150441,151432,152821,154374,155853,157120,158300,159549,160719,162009,163404,164868,166251,167423,168777,170174,171629,172871,174104,175547,177101,178467,179671,181158,182951,184968,186857,188704,190622,192805,195214,197789,200382,203117,205891,208586,211262,213967,216517,219138,221873,224767,227322,229476,231359,233269,235244,237288,239246,241159,243173,245371,247630,250077,252738,255896,259458,263173,266782,270402,274211,278151,281824,285193,288533,291836,295172,297934,301217,304901,309313,313562,318287,322974,328520,334404,340560,346928,354027,362263,369934,376820,383192,389665,395635,401667,407121,413016,418982,425061,430364,434795,439752,444977,450541,455624,459571,463116,466088,468568,470643,472100,473842,474662,474452,473666,471930,470395,468919,467759,466517,465000,463070,461106,458238,455340,451693,447830,443062,437598,432763,427270,421733,414118,406088,397778,389636,382497,375371,368853,362888,357414,350571,343123,336327,332678,329360,325724,322368,319650,318272,317055,316396,316135,317256,319089,320148,319376,319330,319865,320891,319478,317215,314809,312789,310430,307328,304763,302677,300998,298529,296029,292537,290625,288909,287137,284871,282622,281671,280180,279016,277951,277713,277820,278904,280322,282271,284737,287748,291530,294961,299544,304231,309889,316265,323563,330982,338468,345557,352724,358865,364170,368848,373043,377376,380852,382653,383441,383766,384365,385498,385767,386823,388022,390643,392517,394259,396311,399654,402249,405025,407042,409392,412096,415116,418127,420342,423657,426572,429076,430222,432502,434606,436931,438629,441159,443447,446115,448229,450008,452164,454477,457442,460014,463149,466393,469355,471868,474951,478266,482512,486770,491167,495387,499217,502373,505516,508711,511401,512761,512793,512825,512640,511618,510099,508153,506499,506480,508343,510725,511690,511128,511048,511389,512101,513616,516164,519127,522042,524049,524694,525058,527012,531053,535443,539646,543654,547645,551271
10,21,Colorado,State,CO,105399,105723,105981,106507,106953,107430,107927,108412,108875,109303,109797,110284,110779,111189,111648,112184,112802,113342,113779,114200,114709,115317,115943,116560,117217,117815,118394,118834,119371,119924,120689,121649,122654,123600,124294,125070,125806,126799,127839,128998,130139,131523,132820,133862,134670,135580,136822,138140,139528,140928,142336,143916,145476,147099,148721,150532,152448,154264,155998,157710,159602,161317,162923,164326,165677,166830,167950,169118,170230,171245,172111,172892,173345,173836,174364,174956,175576,176076,176554,176806,177113,177421,177647,177729,177812,177874,177984,177979,177882,177813,177842,177946,178149,178312,178633,178931,179219,179558,179854,180230,180555,180895,181154,181385,181490,181691,181900,182266,182672,182997,183301,183514,183748,184046,184396,184678,185000,185425,185877,186150,186398,186628,186766,186823,186966,187011,186918,186831,186726,186494,186255,186143,186106,185854,185824,185925,186160,186242,186353,186376,186146,185674,184999,184238,183390,182750,182053,181400,180532,179853,179146,178610,178128,177787,177229,176626,175730,175079,174346,173844,173544,173357,173122,172699,172324,172055,172060,172211,172714,172847,172941,172497,171950,171042,170240,169430,168656,167849,167065,166267,165291,164425,163641,163107,162332,161658,160906,160520,160286,160179,160152,160137,160308,160571,160882,161306,161920,162856,163906,164866,165801,166690,167621,168559,169684,170808,171984,173123,174354,175490,176759,178091,179402,180621,181733,182912,183846,184867,185899,187115,188500,189904,191231,192373,193623,195168,197009,198960,201236,203593,206014,208245,210582,213021,215589,218302,221117,223818,226250,228649,230783,232845,234827,237102,239286,241465,243703,246075,248240,250297,252510,254635,256974,259373,261975,264162,266133,268054,269886,271582,273340,275266,277145,279290,281468,283572,285486,287556,289894,292049,293999,295652,297262,298752,300166,301015,301367,301969,302460,303051,303317,303891,304586,305145,305599,305640,305763,306298,307216,307933,308629,309499,310603,311665,312862,314453,316267,318565,320993,323496,326128
11,28,Connecticut,State,CT,97062,96892,96927,96903,96839,96812,96687,96676,96322,96102,95607,95413,94809,94675,94192,94031,93745,93487,93481,93360,93689,93764,94057,94113,94734,95117,95575,95491,95676,95864,95915,96047,96215,96577,97186,97527,97851,97782,98243,98933,99773,100379,100939,101322,101768,102207,102775,103486,104298,105335,106221,106991,107529,108264,109023,109879,110657,111598,112491,113527,114543,115582,116578,117634,118728,119766,120965,122494,124208,125769,127038,128050,129015,130208,131506,132900,134260,135767,137252,138625,139750,141189,142769,144595,146343,147936,149565,151152,152866,154411,155927,157249,158841,160083,161569,163012,164735,166410,167884,169488,171176,173191,175093,176912,178571,180491,182513,184542,186234,188084,189863,191760,193491,195379,197261,199535,201701,203825,205614,207124,208531,209272,210767,212039,213588,214126,214715,214875,215119,215088,215109,215185,215653,216347,216645,216510,215884,215364,214897,214651,214565,214315,213616,212719,211261,209584,207484,205666,204539,203879,203101,201707,199919,198114,196866,195565,194418,193527,192552,191298,189326,187251,185446,184408,183615,183383,182854,182592,181840,181081,180602,180710,180850,180748,180245,179445,178466,176947,175283,173662,172697,171646,170507,168967,167727,166888,166060,165012,163847,162834,162026,161031,159878,159079,158350,157620,156770,155685,154915,154284,153856,153556,153275,153266,153484,153407,153475,153796,154307,154735,154778,155115,155549,155813,156061,156113,156084,155975,155383,154729,153870,153624,153530,153132,152653,152370,152333,152058,151524,151204,151495,151922,152267,152058,151878,151949,152189,152136,151504,151206,151151,151411,151353,151010,150813,150757,150766,150496,150047,149896,150209,150682,151378,151650,151942,152262,152776,153080,153501,153936,154495,154939,155551,155809,155970,156038,156273,156527,156680,157288,157649,158079,158047,158155,158088,158602,158683,159212,159395,159840,160275,160520,160673,160477,160289,160061,159928,159940,160547,160957,161617,162137,162816,163598,164693,166183,168050,170090,172299,174401,176507
13,44,Delaware,State,DE,151963,151960,151699,151433,151095,151226,151214,151262,151452,151969,152431,152683,152823,153125,153691,154085,154614,154639,155205,155841,156178,155955,155721,155769,155962,155838,155798,156043,156223,156127,155581,155019,154960,155224,155673,156203,156748,157214,157648,158037,158778,160002,161239,162173,162556,162928,163505,164232,165243,166349,167468,168440,169150,169634,170196,171045,171854,172482,173244,174031,174768,175199,175702,176236,176804,177404,178123,178949,179957,181061,182013,182935,183855,184929,185927,186958,188144,189462,190761,191847,193009,194400,195949,197457,198875,200672,202789,204998,206818,208499,209955,211837,213844,216082,217996,219616,221515,223550,225636,227631,229878,232727,236183,239382,242193,244139,246728,250073,253432,256237,258634,261611,265047,267960,270418,272994,276297,280170,283642,286819,290145,293456,296484,298357,299717,300942,302466,303875,304749,305516,306129,306740,306473,306412,306381,307239,307968,308768,308677,309165,309099,309297,308034,306807,305335,303797,302575,301214,300058,298395,296812,292876,289717,286288,285371,285066,285556,285550,284086,281542,278784,276240,274414,274856,274757,274701,273199,269300,265392,261925,261147,260668,260141,259861,259096,257217,255238,252691,250323,249676,248421,247293,244322,242250,239922,237796,236225,234572,233258,232109,231252,229285,227337,225419,224676,223847,223522,222859,221342,220601,219643,219104,218488,218738,219759,220747,221525,221819,222125,222481,223858,225004,226677,228151,229609,231189,232128,232849,233089,233905,234885,235776,236242,236571,236860,237160,237749,238074,238700,239203,239966,240678,241124,241737,241715,241910,241998,242655,242518,242269,241905,242460,243039,243755,244242,244961,245839,246354,246270,245531,245530,246036,246695,246442,245860,244510,244120,243716,244236,244812,245831,247075,247934,248167,248169,249023,250593,252234,252807,253085,253206,253629,253937,254405,255231,256483,258114,259045,260024,260921,261528,261885,261977,262616,263318,263455,263455,263621,264088,264764,264976,265550,266796,268497,270412,271899,273473,275561,277841,280126,282285
12,49,District of Columbia,State,DC,122701,122418,122077,121489,120959,120581,120185,119928,119623,119377,119153,119115,119039,118993,118993,119070,118970,118773,118774,118558,118455,118288,118501,118698,119210,119611,120042,120296,120866,121415,121884,122693,123709,124911,125598,126091,126387,126985,127798,129005,130474,132183,133975,135644,137153,138817,140676,142628,144531,146459,148494,150476,152177,153714,155133,156313,157460,158046,159050,160521,162498,164401,166411,168674,171163,173767,176736,180080,183458,186953,190059,192983,195827,198902,201918,204977,208048,211263,214237,217502,220926,224384,228353,232336,236241,239542,242363,245222,248077,251113,253941,256535,258799,261384,263736,266978,271069,274981,278933,282197,286453,290750,295682,300223,306108,313324,320237,325030,327303,331280,336170,342456,347236,352005,357214,362886,367415,369984,372722,376025,380001,382201,384045,384943,385879,385952,384619,383092,380969,378574,375960,374075,373082,373066,372940,373074,372927,372824,373496,374186,375066,375974,376784,376969,376057,374544,373015,371654,370867,369647,368130,365919,364685,364621,364678,363736,363561,363368,362914,360671,356962,354780,353100,353093,352954,352157,351456,351676,352274,352526,352502,354387,358074,360629,361359,361397,360146,359021,357221,357297,357298,358687,359099,358899,357694,356915,356780,355727,356000,356267,357285,356225,355769,354699,355409,355055,355178,356025,358576,361592,364106,366838,369702,372765,374572,375416,376432,379450,384415,388363,390216,391775,393179,394827,395803,397480,399188,401627,403925,405567,405004,403979,404248,404993,405130,404786,405134,405798,407356,408940,410143,410588,411061,412083,413175,414301,416373,418360,419012,418781,417780,417243,417185,418375,420380,422023,422571,423192,423216,423076,424735,426780,430513,433004,435249,435296,434465,433935,434997,435657,436790,438186,438874,439888,439122,440948,440119,440489,440408,441881,443388,444069,444913,445573,446272,446403,446041,444826,446585,448406,451002,451339,451084,451777,452104,452871,452379,453434,455951,458674,459696,460298,460659,461925,463259,464246,465262,465873,467406,467823,467551
14,3,Florida,State,FL,83595,83653,83732,83874,84015,84203,84385,84547,84621,84705,84809,84942,84884,84882,84907,85161,85380,85566,85747,85941,86163,86335,86521,86714,87295,87790,88211,88230,88315,88279,88284,88357,88717,89163,89513,89781,89822,89936,90057,90356,90657,91176,91701,92181,92382,92568,92859,93192,93596,94016,94547,95122,95665,96171,96634,97096,97623,98175,98801,99471,100165,100898,101666,102473,103339,104224,105229,106294,107478,108695,109870,110987,112059,113119,114141,115185,116253,117383,118545,119785,120976,122200,123445,124930,126449,128020,129546,131121,132631,134030,135347,136632,138057,139595,141284,142846,144527,146203,147997,149685,151583,153691,156020,158564,161200,163970,166757,169815,172934,176309,179795,183529,187540,191768,196282,200803,205304,209477,213249,216731,220217,223345,226708,230124,233163,235481,236877,237730,238021,237817,237780,237142,236406,235240,233586,231282,228539,225630,222707,219859,217016,214349,211105,207937,203950,200038,195742,191602,187459,183494,179573,175458,171220,166889,162712,158806,155191,151751,148453,145250,142262,139587,137152,134948,132958,131329,130039,128672,127585,126587,125855,125152,124406,123432,122394,121245,120147,118829,117510,116413,115292,114292,113198,112288,111430,110747,110137,109766,109483,109442,109513,109568,109718,109831,110165,110569,111154,111912,112694,113555,114477,115530,116516,117609,118859,120302,121820,123432,125065,126607,128270,129990,131720,133197,134818,136359,137784,138951,140033,140902,141772,142536,143406,144077,144823,145760,146523,147345,148093,149073,150027,150974,151912,152862,153705,154664,155690,156654,157686,158669,159813,160895,161835,162753,163552,164575,165565,166441,167106,167766,168569,169369,170117,170674,171242,171933,172691,173370,173999,174851,175711,176560,177022,177587,178045,178868,179758,180577,181444,182183,182930,183429,183913,184373,185182,185916,186506,186529,186582,186716,186944,187421,188037,188406,188522,188672,188944,189169,189507,190185,190921,191648,192331,192959,193559,194508,195754,197077,198308,199691,201186
