,State,Disaster Type,Disaster Title,year start,year end
0,AK,Flood,Ice Jam and Flooding,2011,2011
1,AK,Flood,Ice Jam and Flooding,2011,2011
2,AK,Flood,Ice Jam and Flooding,2011,2011
3,AK,Storm,Severe Winter Storms and Flooding,2011,2011
4,AK,Storm,Severe Winter Storms and Flooding,2011,2011
5,AK,Storm,Severe Winter Storms and Flooding,2011,2011
6,AK,Storm,Severe Winter Storms and Flooding,2011,2011
7,AK,Storm,Severe Winter Storms and Flooding,2011,2011
8,AK,Storm,Severe Storm,2011,2011
9,AK,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012,2012
10,AK,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012,2012
11,AK,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012,2012
12,AK,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012,2012
13,AK,Storm,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012,2012
14,AK,Flood,Flooding,2013,2013
15,AK,Flood,Flooding,2013,2013
16,AK,Flood,Flooding,2013,2013
17,AK,Flood,Flooding,2013,2013
18,AK,Flood,Flooding,2013,2013
19,AK,Flood,Flooding,2013,2013
20,AK,Storm,"Severe Storms, Straight-Line Winds, and Flooding",2013,2013
21,AK,Storm,"Severe Storms, Straight-Line Winds, and Flooding",2013,2013
22,AK,Storm,"Severe Storms, Straight-Line Winds, and Flooding",2013,2013
23,AK,Storm,"Severe Storms, Straight-Line Winds, and Flooding",2013,2013
24,AK,Storm,Severe Storm,2015,2015
25,AK,Storm,Severe Storm,2015,2015
26,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2010,2010
27,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2010,2010
28,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2010,2010
29,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
30,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
31,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
32,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
33,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
34,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
35,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
36,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
37,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
38,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
39,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
40,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
41,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
42,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
43,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
44,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
45,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
46,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
47,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
48,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
49,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
50,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
51,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
52,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
53,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
54,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
55,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
56,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
57,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
58,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
59,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
60,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
61,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
62,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
63,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
64,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
65,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
66,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
67,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
68,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
69,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
70,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
71,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
72,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
73,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
74,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
75,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
76,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
77,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
78,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
79,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
80,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
81,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
82,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
83,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
84,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
85,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
86,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
87,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
88,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
89,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
90,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
91,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
92,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
93,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
94,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
95,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011,2011
96,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012,2012
97,AL,Storm,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012,2012
