State,Disaster Type,year start,Disaster Title,year end
AK,Flood,2011,Ice Jam and Flooding,2011
AK,Flood,2013,Flooding,2013
AK,Storm,2011,Severe Winter Storms and Flooding,2011
AK,Storm,2012,"Severe Storm, Straight-Line Winds, Flooding, and Landslides",2012
AK,Storm,2013,"Severe Storms, Straight-Line Winds, and Flooding",2013
AK,Storm,2015,Severe Storm,2015
AL,Hurricane,2012,Hurricane Isaac,2012
AL,Storm,2010,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2010
AL,Storm,2011,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2011
AL,Storm,2012,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2012
AL,Storm,2014,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2014
AL,Storm,2015,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015
AR,Ice,2012,Severe Winter Storm,2012
AR,Ice,2013,Severe Winter Storm,2013
AR,Storm,2011,"Severe Storms, Tornadoes, and Associated Flooding",2011
AR,Storm,2013,"Severe Storms, Tornadoes, and Flooding",2013
AR,Storm,2014,"Severe Storms,Tornadoes, and Flooding",2014
AR,Storm,2015,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2015
AR,Storm,2016,"Severe Storms, Tornadoes, Straight-Line Winds, and Flooding",2016
AS,Storm,2014,"Severe Storms, Flooding, and Landslides",2014
AZ,Flood,2014,Severe Storms and Flooding,2014
AZ,Storm,2010,Severe Winter Storms and Flooding,2010
AZ,Winter,2012,Severe Freeze,2013
CA,Earthquake,2010,Earthquake,2010
CA,Earthquake,2014,Earthquake,2014
CA,Fire,2013,Wildfire,2013
CA,Fire,2015,Valley Fire and Butte Fire,2015
CA,Flood,2010,"Severe Winter Storms, Flooding, and Debris and Mud Flows",2011
CA,Flood,2014,"Severe Storms, Flooding, and Mudslides",2014
CA,Storm,2010,"Severe Winter Storms, Flooding, and Debris and Mud Flows",2010
CA,Storm,2017,Severe Winter Storm,2017
CA,Tsunami,2011,Tsunami Waves,2011
CO,Fire,2012,High Park and Waldo Canyon Wildfires,2012
CO,Fire,2013,Black Forest Wildfire,2013
CO,Flood,2013,"Severe Storms, Flooding, Landslides, and Mudslides",2013
CO,Flood,2015,"Severe Storms, Tornadoes, Flooding, Landslides, and Mudslides",2015
CT,Hurricane,2011,Tropical Storm Irene,2011
CT,Hurricane,2012,Hurricane Sandy,2012
CT,Snow,2011,Snowstorm,2011
CT,Storm,2010,Severe Storms and Flooding,2010
CT,Storm,2011,Severe Storm,2011
CT,Storm,2013,Severe Winter Storm and Snowstorm,2013
CT,Storm,2015,Severe Winter Storm and Snowstorm,2015
DC,Earthquake,2011,Earthquake,2011
